Index,Film,Release_Date,US_Canada_BO,Other_Territories_BO,Worldwide_BO,US_Rank,WW_Rank,Budget,Ref,Phase
1,Iron Man,"May 2, 2008","$319,034,126","$266,762,121",585796247,89,190,$140 million,[272],Phase 1
2,The Incredible Hulk,"June 13, 2008","$134,806,913","$129,964,083",264770996,494,625,$137.5–150 million,[273][274],Phase 1
3,Iron Man 2,"May 7, 2010","$312,433,331","$311,500,000",623933331,95,172,$170–200 million,[275][276],Phase 1
4,Thor,"May 6, 2011","$181,030,624","$268,295,994",449326618,280,290,$150 million,[277],Phase 1
5,Captain America: The First Avenger,"July 22, 2011","$176,654,505","$193,915,269",370569774,298,394,$140 million,[278],Phase 1
6,The Avengers,"May 4, 2012","$623,357,910","$897,180,626",1520538536,12,10,$220 million,[279][280],Phase 1
7,Iron Man 3,"May 3, 2013","$409,013,994","$806,563,211",1215577205,39,25,$200 million,[281][282],Phase 2
8,Thor: The Dark World,"November 8, 2013","$206,362,140","$438,421,000",644783140,222,164,$150–170 million,[283][282][284],Phase 2
9,Captain America: The Winter Soldier,"April 4, 2014","$259,766,572","$454,654,931",714421503,134,134,$170–177 million,[285],Phase 2
10,Guardians of the Galaxy,"August 1, 2014","$333,718,600","$439,631,547",773350147,79,114,$170 million,[286][287],Phase 2
11,Avengers: Age of Ultron,"May 1, 2015","$459,005,868","$946,012,180",1405018048,25,15,$250–444 million,[288][289],Phase 2
12,Ant-Man,"July 17, 2015","$180,202,163","$339,109,802",519311965,283,233,$130 million,[290][291],Phase 2
13,Captain America: Civil War,"May 6, 2016","$408,084,349","$746,962,067",1155046416,42,29,$250 million,[292],Phase 3
14,Doctor Strange,"November 4, 2016","$232,641,920","$445,154,156",677796076,174,155,$165 million,[293][294],Phase 3
15,Guardians of the Galaxy Vol. 2,"May 5, 2017","$389,813,101","$473,942,950",863756051,50,88,$200 million,[295],Phase 3
16,Spider-Man: Homecoming,"July 7, 2017","$334,201,140","$545,965,784",880166924,80,78,$175 million,[296],Phase 3
17,Thor: Ragnarok,"November 3, 2017","$315,058,289","$540,243,517",855301806,97,92,$180 million,[297],Phase 3
18,Black Panther,"February 16, 2018","$700,426,566","$674,533,163",1374959729,6,17,$200 million,[298][299],Phase 3
19,Avengers: Infinity War,"April 27, 2018","$678,815,482","$1,373,599,557",2052415039,8,6,$325–400 million,[300][301][302],Phase 3
20,Ant-Man and the Wasp,"July 6, 2018","$216,648,740","$406,025,399",622674139,204,179,$162 million,[303][304],Phase 3
21,Captain Marvel,"March 8, 2019","$426,829,839","$704,586,607",1131416446,33,33,$150–175 million,[305][306],Phase 3
22,Avengers: Endgame,"April 26, 2019","$858,373,000","$1,941,066,100",2799439100,2,2,$356–400 million,[307][308],Phase 3
23,Spider-Man: Far From Home,"July 2, 2019","$391,283,774","$746,838,016",1138121790,49,32,$160 million,[309],Phase 3
24,Black Widow,"July 9, 2021","$183,651,655","$196,100,000","$379,751,655[e]",290,409,$200 million,[313][314],Phase 4
25,Shang-Chi and the Legend of the Ten Rings,"September 3, 2021","$224,543,292","$207,700,000",432243292,193,331,$150–200 million,[315][316][317],Phase 4
26,Eternals,"November 5, 2021","$164,870,234","$237,194,665",402064899,370,377,$236.2 million,[318][319],Phase 4
27,Spider-Man: No Way Home,"December 17, 2021","$814,866,759","$1,113,174,146",1928040905,3,7,$200 million,[320][321],Phase 4
28,Doctor Strange in the Multiverse of Madness,"May 6, 2022","$411,331,607","$544,444,197",955775804,44,68,$172–200 million,[322][323][324],Phase 4
29,Thor: Love and Thunder,"July 8, 2022","$343,256,830","$417,671,251",760928081,77,123,$250 million,[325][326],Phase 4
30,Black Panther: Wakanda Forever,"November 11, 2022","$453,829,060","$405,379,776",859208836,30,93,$250 million,[327][138],Phase 4
31,Ant-Man and the Wasp: Quantumania,"February 17, 2023","$214,504,909","$261,566,271",476071180,223,286,$388.4 million,[328][329],Phase 5
32,Guardians of the Galaxy Vol. 3,"May 5, 2023","$358,995,815","$486,559,962",845555777,70,99,$250 million,[330][331],Phase 5
33,The Marvels,"November 10, 2023","$84,500,223","$121,636,602",206136825,1031,922,$375 million,[332][333],Phase 5
34,Deadpool & Wolverine,"July 26, 2024","$636,745,858","$701,327,787",1338073645,12,21,$200 million,[334][335],Phase 5
35,Captain America: Brave New World,"February 14, 2025","$200,500,001","$214,601,576",415101577,254,358,$180 million,[336][337],Phase 5
36,Thunderbolts*,"May 2, 2025","$190,274,328","$192,162,589",382436917,275,411,$180 million,[338][339],Phase 5
37,The Fantastic Four: First Steps,"July 25, 2025","$274,286,610","$247,572,118",521858728,136,253,$200 million,[340],Phase 6
38,Avengers: Doomsday,"May 1, 2026","$950,000,000","$2,850,000,000",4100000000,4,4,$356–400 million,[343],Phase 6
,Total,,"$13,104,471,816","$19,382,596,881",32487068924,1,1,$7.239–7.724 billion,[268],
